pokemon_id,form,count_poke,percentage,avg_weight,avg_height,avg_size,avg_atk,avg_def,avg_sta,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
915,0,25842,7691.0714,10.444728397315318,0.499701123701593,2.9990,8.0735,8.0625,8.0922,16.9324,53.840367,38.71367887661308,-9.221995503097808,8,0.0310,4,0.0155,54,0.2090,6,0.0232,7,0.0271,5,0.0193
194,1226,23516,6998.8095,8.688302471789626,0.40926506067421364,2.9973,7.9610,8.0597,8.0316,16.8180,53.449455,38.71386381849903,-9.222084080924777,13,0.0553,4,0.0170,47,0.1999,10,0.0425,5,0.0213,0,0.0000
427,0,22169,6597.9167,5.632847942369745,0.3999459724319168,2.9987,9.0084,9.0779,9.0536,19.4924,60.310748,38.71405172640861,-9.223312926963464,10,0.0451,2,0.0090,48,0.2165,2,0.0090,11,0.0496,0,0.0000
27,51,20018,5957.7381,12.352955816857952,0.6011373940243828,3.0033,8.2832,8.3368,8.3026,17.5204,55.383699,38.71456018766952,-9.222582427577281,12,0.0599,2,0.0100,31,0.1549,3,0.0150,14,0.0699,1,0.0050
333,0,19540,5815.4762,1.2261728283672084,0.40930763958284866,3.0002,9.0298,9.0623,9.0517,19.3500,60.319588,38.71466769918554,-9.222545878853962,8,0.0409,0,0.0000,35,0.1791,2,0.0102,2,0.0102,0,0.0000
304,1469,19289,5740.7738,61.53023927999871,0.4102318444013409,2.9993,7.8429,7.9033,7.8471,16.3625,52.429318,38.71555625746524,-9.222920674624879,5,0.0259,3,0.0156,38,0.1970,3,0.0156,11,0.0570,8,0.0415
37,55,18985,5650.2976,10.153583811580095,0.5998046152864381,2.9978,8.0133,8.1190,8.0438,16.9333,53.724837,38.71321043476337,-9.22045638550557,8,0.0421,1,0.0053,40,0.2107,1,0.0053,1,0.0053,8,0.0421
41,157,16783,4994.9405,7.710899796334224,0.8014134299369863,3.0036,8.7455,8.7505,8.7008,18.7633,58.21518,38.71561837096468,-9.221711147647406,8,0.0477,2,0.0119,38,0.2264,4,0.0238,2,0.0119,2,0.0119
513,0,14677,4368.1548,11.285167592605557,0.6002733485665973,3.0044,8.3279,8.2772,8.3249,17.6041,55.39988,38.712826665143936,-9.223593745609838,6,0.0409,1,0.0068,26,0.1771,2,0.0136,2,0.0136,1,0.0068
206,0,13973,4158.6310,14.317276561928521,1.4961726049810262,3.0023,7.4673,7.4927,7.5088,15.5518,49.930752,38.7137289003706,-9.222640263489561,4,0.0286,2,0.0143,19,0.1360,2,0.0143,5,0.0358,0,0.0000
273,625,13382,3982.7381,4.101644457632983,0.5098265190609498,3.0013,8.2778,8.3328,8.2784,17.6505,55.308766,38.713197301917624,-9.22144690725717,1,0.0075,4,0.0299,30,0.2242,2,0.0149,2,0.0149,1,0.0075
109,703,13200,3928.5714,1.0253763719941253,0.6001825381901639,3.0005,8.5942,8.5399,8.6014,18.1474,57.190074,38.712151656291,-9.219019528766424,2,0.0152,1,0.0076,16,0.1212,0,0.0000,2,0.0152,3,0.0227
35,0,13019,3874.7024,7.6802468024827295,0.5995120839149574,3.0033,8.2911,8.2030,8.2802,17.4373,55.054047,38.714372247269054,-9.222095985802493,3,0.0230,1,0.0077,24,0.1843,1,0.0077,0,0.0000,4,0.0307
557,0,13009,3871.7262,14.919452552841348,0.30067499074747567,3.0005,8.0733,8.1304,8.1048,17.0696,54.018653,38.71508276601073,-9.218896717507214,2,0.0154,5,0.0384,29,0.2229,2,0.0154,1,0.0077,2,0.0154
237,0,12274,3652.9762,49.294460134545155,1.4023578694693897,2.9980,8.2528,8.2267,8.2543,17.2579,54.96405,38.71359752728326,-9.221974371657188,1,0.0081,1,0.0081,24,0.1955,1,0.0081,2,0.0163,1,0.0081
585,587,12183,3625.8929,20.023863042188253,0.600255998582825,2.9988,8.4702,8.4977,8.4675,18.0079,56.523219,38.71157402632117,-9.218816848313715,3,0.0246,1,0.0082,0,0.0000,1,0.0082,0,0.0000,3,0.0246
921,0,11827,3519.9405,2.5521716620293007,0.29930823185347816,3.0024,7.4587,7.5673,7.5041,15.4699,50.066968,38.713576800061766,-9.22186351577547,1,0.0085,4,0.0338,0,0.0000,3,0.0254,10,0.0846,3,0.0254
170,0,10874,3236.3095,12.339114753972392,0.5110138796704603,2.9998,7.4272,7.4514,7.5138,15.4796,49.760851,38.71345379941437,-9.222050726125502,2,0.0184,0,0.0000,21,0.1931,3,0.0276,4,0.0368,2,0.0184
155,1127,10865,3233.6310,8.137298683479724,0.5109181206533573,3.0026,8.0545,8.0179,8.1554,16.9093,53.839364,38.71336274817563,-9.222243089228616,3,0.0276,1,0.0092,23,0.2117,4,0.0368,5,0.0460,4,0.0368
285,0,10828,3222.6190,4.632693841944404,0.41103880064489,3.0018,8.1680,8.0372,8.0842,16.9041,53.976487,38.71354608389822,-9.220834549751018,4,0.0369,1,0.0092,25,0.2309,3,0.0277,2,0.0185,1,0.0092
158,1136,10235,3046.1310,9.765550890279151,0.6107052854834577,3.0004,7.4937,7.4448,7.5254,15.7970,49.919733,38.71354625658023,-9.221525349880816,2,0.0195,0,0.0000,19,0.1856,3,0.0293,3,0.0293,4,0.0391
554,2063,10184,3030.9524,38.401750442534585,0.5993174372946346,2.9960,8.0129,8.1172,8.0516,16.8168,53.737014,38.71562114893402,-9.222367444501707,5,0.0491,4,0.0393,24,0.2357,0,0.0000,0,0.0000,0,0.0000
263,946,9984,2971.4286,17.9924334209385,0.40081130653676694,3.0047,7.8821,7.8390,7.9239,16.5066,52.544549,38.71340160440401,-9.221716340784566,5,0.0501,3,0.0300,152,1.5224,4,0.0401,4,0.0401,0,0.0000
152,1118,9526,2835.1190,6.549696578221459,0.8901263044154671,3.0008,8.0405,8.0202,8.0681,16.8164,53.619537,38.713239590284715,-9.221727935985628,3,0.0315,2,0.0210,18,0.1890,3,0.0315,0,0.0000,3,0.0315
684,0,9233,2747.9167,3.5782877844314602,0.3992271450460798,2.9980,8.0503,8.1674,8.2257,17.2599,54.318712,38.71286313964814,-9.22647141257876,3,0.0325,0,0.0000,10,0.1083,1,0.0108,0,0.0000,3,0.0325
519,0,9228,2746.4286,2.1549118492723562,0.3001792435283725,3.0036,8.8325,8.8237,8.7674,18.8604,58.719168,38.71337567845786,-9.222896904237018,4,0.0433,2,0.0217,30,0.3251,3,0.0325,3,0.0325,1,0.0108
736,0,8219,2446.1310,4.519633211116217,0.400218096192913,3.0017,7.4870,7.4968,7.4946,15.4924,49.952022,38.7128966985868,-9.223031720325968,1,0.0122,3,0.0365,14,0.1703,2,0.0243,2,0.0243,3,0.0365
590,0,8203,2441.3690,1.0282363958095992,0.20017501169438762,2.9999,8.7837,8.7040,8.7639,18.6516,58.336911,38.713753769985566,-9.221308512877954,2,0.0244,2,0.0244,14,0.1707,2,0.0244,0,0.0000,2,0.0244
